Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
Fuerte	y	2	2	1.0
$	Ghh	2	428	0.004672897196261682
Ghh	#	2	2	1.0
$	Recibido	2	428	0.004672897196261682
ahora	#	2	2	1.0
$	Puedes	2	428	0.004672897196261682
Si	#	2	10	0.2
$	La	2	428	0.004672897196261682
papu	#	2	2	1.0
$	Listo	2	428	0.004672897196261682
Listo	#	2	2	1.0
$	Ingles	1	428	0.002336448598130841
Ingles	:	1	1	1.0
:	ID	1	15	0.06666666666666667
ID	de	1	2	0.5
de	reunión	1	26	0.038461538461538464
reunión	:	1	1	1.0
:	987	1	15	0.06666666666666667
987	2478	1	1	1.0
2478	5996	1	1	1.0
5996	#	1	1	1.0
$	Programacion	1	428	0.002336448598130841
Programacion	:	1	1	1.0
:	Meeting	1	15	0.06666666666666667
Meeting	ID	1	1	1.0
ID	:	1	2	0.5
:	727	1	15	0.06666666666666667
727	353	1	1	1.0
353	5852	1	1	1.0
5852	#	1	1	1.0
$	Gugyhu	1	428	0.002336448598130841
Gugyhu	#	1	1	1.0
$	cambia	1	428	0.002336448598130841
cambia	las	1	1	1.0
las	unidades	1	6	0.16666666666666666
unidades	nomas	1	1	1.0
nomas	#	1	3	0.3333333333333333
$	mismo	1	428	0.002336448598130841
mismo	caso	1	2	0.5
caso	#	1	3	0.3333333333333333
$	denada	1	428	0.002336448598130841
denada	jjsjajsjas	1	1	1.0
jjsjajsjas	#	1	1	1.0
$	27	1	428	0.002336448598130841
27	#	1	1	1.0
$	Nah	1	428	0.002336448598130841
Nah	#	1	1	1.0
$	Aguanto	1	428	0.002336448598130841
Aguanto	hasta	1	1	1.0
hasta	las	1	4	0.25
Tu	si	1	2	0.5
si	?	1	10	0.1
$	Está	1	428	0.002336448598130841
Está	bien	1	1	1.0
Pq	era	1	2	0.5
era	material	1	3	0.3333333333333333
material	del	1	1	1.0
del	ine	1	8	0.125
ine	jajajsja	1	1	1.0
jajajsja	#	1	1	1.0
Y	dizque	1	7	0.14285714285714285
dizque	nosotros	1	1	1.0
nosotros	no	1	2	0.5
no	podemos	1	20	0.05
podemos	usarlo	1	1	1.0
usarlo	#	1	1	1.0
hay	xd	1	6	0.16666666666666666
Smn	al	1	7	0.14285714285714285
rato	#	1	4	0.25
Te	dieron	1	3	0.3333333333333333
dieron	comida	1	2	0.5
comida	?	1	1	1.0
$	Esperp	1	428	0.002336448598130841
Esperp	y	1	1	1.0
y	no	1	14	0.07142857142857142
no	jajajaja	1	20	0.05
jajajaja	#	1	1	1.0
$	Vas	1	428	0.002336448598130841
Vas	a	1	1	1.0
a	comer	1	36	0.027777777777777776
comer	ahorita	1	1	1.0
ahorita	?	1	2	0.5
?	  	1	55	0.01818181818181818
  	#	1	1	1.0
O	hasta	1	2	0.5
hasta	el	1	4	0.25
el	rato	1	26	0.038461538461538464
rato	?	1	4	0.25
Yo	empiezo	1	4	0.25
empiezo	a	1	1	1.0
2	alv	1	8	0.125
alv	xd	1	1	1.0
me	aburri	1	16	0.0625
aburri	:	1	1	1.0
'	v	1	2	0.5
$	Toy	1	428	0.002336448598130841
Toy	rodeado	1	1	1.0
rodeado	de	1	1	1.0
de	puto	1	26	0.038461538461538464
puto	ñor	1	1	1.0
ñor	#	1	1	1.0
$	Cosas	1	428	0.002336448598130841
Cosas	de	1	1	1.0
de	señores	1	26	0.038461538461538464
señores	jajaja	1	1	1.0
Nmms	xd	1	4	0.25
Pq	?	1	2	0.5
Ya	hasta	1	26	0.038461538461538464
hasta	se	1	4	0.25
se	fue	1	9	0.1111111111111111
el	don	1	26	0.038461538461538464
don	#	1	1	1.0
$	Ustedes	1	428	0.002336448598130841
Ustedes	andan	1	1	1.0
andan	haciendo	1	1	1.0
haciendo	listas	1	1	1.0
listas	de	1	1	1.0
incidencia	?	1	2	0.5
A	mi	1	7	0.14285714285714285
mi	me	1	9	0.1111111111111111
me	la	1	16	0.0625
la	pidieron	1	25	0.04
pidieron	ajajjsja	1	1	1.0
ajajjsja	#	1	1	1.0
$	Sobre	1	428	0.002336448598130841
Sobre	que	1	1	1.0
que	abrio	1	29	0.034482758620689655
abrio	tarde	1	1	1.0
tarde	y	1	1	1.0
y	eso	1	14	0.07142857142857142
Estas	con	1	2	0.5
con	alguien	1	7	0.14285714285714285
alguien	mas	1	1	1.0
mas	del	1	2	0.5
pan	?	1	2	0.5
Es	pa	1	3	0.3333333333333333
pa	l	1	6	0.16666666666666666
l	grupo	1	1	1.0
grupo	we	1	2	0.5
we	ajajjs	1	7	0.14285714285714285
ajajjs	#	1	1	1.0
Ah	ps	1	2	0.5
ps	eso	1	2	0.5
eso	de	1	5	0.2
la	madre	1	25	0.04
madre	de	1	3	0.3333333333333333
incidencia	me	1	2	0.5
me	lo	1	16	0.0625
lo	dijo	1	7	0.14285714285714285
dijo	la	1	2	0.5
la	otra	1	25	0.04
otra	morra	1	1	1.0
morra	del	1	1	1.0
pan	#	1	2	0.5
$	Checa	1	428	0.002336448598130841
Checa	y	1	1	1.0
y	tenemos	1	14	0.07142857142857142
tenemos	1	1	2	0.5
1	hoja	1	1	1.0
hoja	para	1	3	0.3333333333333333
para	hacer	1	3	0.3333333333333333
hacer	esa	1	4	0.25
esa	madre	1	2	0.5
madre	#	1	3	0.3333333333333333
$	Asi	1	428	0.002336448598130841
Asi	y	1	1	1.0
y	le	1	14	0.07142857142857142
le	pongo	1	5	0.2
pongo	los	1	1	1.0
los	detalles	1	9	0.1111111111111111
detalles	en	1	2	0.5
en	una	1	26	0.038461538461538464
una	hoja	1	5	0.2
hoja	de	1	3	0.3333333333333333
de	cuaderno	1	26	0.038461538461538464
cuaderno	xd	1	1	1.0
Tienes	hoja	1	2	0.5
hoja	?	1	3	0.3333333333333333
Si	no	1	10	0.1
no	ps	1	20	0.05
ps	chance	1	2	0.5
chance	solo	1	3	0.3333333333333333
solo	con	1	3	0.3333333333333333
con	la	1	7	0.14285714285714285
la	mia	1	25	0.04
mia	#	1	1	1.0
A	pues	1	7	0.14285714285714285
pues	rifate	1	1	1.0
rifate	lo	1	1	1.0
lo	que	1	7	0.14285714285714285
que	viste	1	29	0.034482758620689655
viste	y	1	1	1.0
y	consideras	1	14	0.07142857142857142
consideras	que	1	1	1.0
que	estuvo	1	29	0.034482758620689655
estuvo	mal	1	1	1.0
mal	cd	1	2	0.5
$	Ponle	1	428	0.002336448598130841
Ponle	detalles	1	1	1.0
detalles	we	1	2	0.5
Tienes	hojas	1	2	0.5
hojas	sueltas	1	1	1.0
sueltas	?	1	1	1.0
Ya	te	1	26	0.038461538461538464
te	comiste	1	11	0.09090909090909091
comiste	el	1	1	1.0
el	cuernito	1	26	0.038461538461538464
cuernito	?	1	1	1.0
$	Quieres	1	428	0.002336448598130841
Quieres	o	1	1	1.0
o	que	1	4	0.25
$	Hajaja	1	428	0.002336448598130841
Hajaja	#	1	1	1.0
Es	por	1	3	0.3333333333333333
por	casilla	1	4	0.25
casilla	xd	1	2	0.5
$	Tenla	1	428	0.002336448598130841
Tenla	por	1	1	1.0
por	si	1	4	0.25
si	acaso	1	10	0.1
acaso	xd	1	1	1.0
$	Weee	1	428	0.002336448598130841
Weee	le	1	1	1.0
le	preguntaste	1	5	0.2
preguntaste	al	1	1	1.0
al	presidente	1	5	0.2
presidente	de	1	1	1.0
de	tu	1	26	0.038461538461538464
tu	casilla	1	6	0.16666666666666666
casilla	?	1	2	0.5
Voy	al	1	4	0.25
al	baño	1	5	0.2
baño	xd	1	1	1.0
Si	se	1	10	0.1
se	va	1	9	0.1111111111111111
va	a	1	3	0.3333333333333333
a	armar	1	36	0.027777777777777776
armar	o	1	1	1.0
o	nel	1	4	0.25
nel	?	1	1	1.0
Ya	llego	1	26	0.038461538461538464
$	mi	1	428	0.002336448598130841
mi	jefa	1	9	0.1111111111111111
jefa	#	1	1	1.0
Y	onde	1	7	0.14285714285714285
onde	tas	1	1	1.0
tas	tu	1	1	1.0
tu	?	1	6	0.16666666666666666
$	Puro	1	428	0.002336448598130841
Puro	lazo	1	1	1.0
lazo	#	1	1	1.0
$	pa	1	428	0.002336448598130841
pa	#	1	6	0.16666666666666666
Me	meto	1	7	0.14285714285714285
meto	#	1	1	1.0
Si	llegué	1	10	0.1
llegué	we	1	3	0.3333333333333333
we	jajaja	1	7	0.14285714285714285
Ya	saliste	1	26	0.038461538461538464
saliste	!	1	1	1.0
!	#	1	1	1.0
$	*	1	428	0.002336448598130841
*	?	1	2	0.5
$	3.-	1	428	0.002336448598130841
3.-	#	1	1	1.0
$	🤡	1	428	0.002336448598130841
🤡	#	1	1	1.0
Que	al	1	8	0.125
rato	te	1	4	0.25
te	hecha	1	11	0.09090909090909091
hecha	jjaa	1	1	1.0
jjaa	#	1	1	1.0
Ya	se	1	26	0.038461538461538464
se	enojo	1	9	0.1111111111111111
enojo	#	1	1	1.0
Bueno	xd	1	2	0.5
El	examen	1	2	0.5
$	Baba	1	428	0.002336448598130841
Baba	#	1	1	1.0
Me	pide	1	7	0.14285714285714285
pide	procedimientoxd	1	1	1.0
procedimientoxd	#	1	1	1.0
$	Ba	1	428	0.002336448598130841
Ba	xdd	1	1	1.0
$	Dile	1	428	0.002336448598130841
Dile	a	1	1	1.0
que	todavía	1	29	0.034482758620689655
todavía	ando	1	2	0.5
ando	aqui	1	6	0.16666666666666666
aqui	#	1	1	1.0
$	Anduve	1	428	0.002336448598130841
Anduve	en	1	1	1.0
la	clase	1	25	0.04
clase	de	1	2	0.5
de	12:00	1	26	0.038461538461538464
12:00	#	1	1	1.0
Ya	mero	1	26	0.038461538461538464
mero	#	1	1	1.0
$	salgo	1	428	0.002336448598130841
salgo	#	1	2	0.5
$	3:30	1	428	0.002336448598130841
3:30	chance	1	1	1.0
chance	#	1	3	0.3333333333333333
We	#	1	2	0.5
$	Otra	1	428	0.002336448598130841
Otra	vez	1	1	1.0
vez	el	1	1	1.0
el	metro	1	26	0.038461538461538464
metro	se	1	2	0.5
se	descompuso	1	9	0.1111111111111111
descompuso	#	1	1	1.0
$	JAJAJA	1	428	0.002336448598130841
JAJAJA	#	1	1	1.0
Me	voy	1	7	0.14285714285714285
a	tardar	1	36	0.027777777777777776
tardar	#	1	1	1.0
$	Acá	1	428	0.002336448598130841
Acá	en	1	1	1.0
en	politécnico	1	26	0.038461538461538464
politécnico	#	1	1	1.0
creo	#	1	3	0.3333333333333333
Ahorita	te	1	2	0.5
te	envié	1	11	0.09090909090909091
envié	msg	1	1	1.0
msg	#	1	2	0.5
Ya	jalo	1	26	0.038461538461538464
jalo	xd	1	2	0.5
$	/*Un	1	428	0.002336448598130841
/*Un	radar	1	1	1.0
radar	toma	1	1	1.0
toma	la	1	1	1.0
la	velocidad	1	25	0.04
velocidad	con	1	2	0.5
con	que	1	7	0.14285714285714285
que	circulan	1	29	0.034482758620689655
circulan	autos	1	1	1.0
autos	por	1	1	1.0
por	una	1	4	0.25
una	avenida	1	5	0.2
avenida	,	1	1	1.0
,	en	1	32	0.03125
en	caso	1	26	0.038461538461538464
caso	de	1	3	0.3333333333333333
que	excedan	1	29	0.034482758620689655
excedan	el	1	1	1.0
el	limite	1	26	0.038461538461538464
limite	de	1	1	1.0
de	velocidad	1	26	0.038461538461538464
velocidad	#	1	2	0.5
A	qué	1	7	0.14285714285714285
qué	horas	1	1	1.0
horas	llegas	1	1	1.0
Ya	anda	1	26	0.038461538461538464
preguntando	links	1	2	0.5
links	xd	1	1	1.0
$	Puso	1	428	0.002336448598130841
Puso	una	1	1	1.0
una	lista	1	5	0.2
lista	y	1	1	1.0
y	anda	1	14	0.07142857142857142
preguntando	#	1	2	0.5
Ya	respondiste	1	26	0.038461538461538464
respondiste	?	1	1	1.0
ando	aca	1	6	0.16666666666666666
aca	we	1	2	0.5
En	la	1	4	0.25
la	school	1	25	0.04
school	#	1	1	1.0
$	Cómo	1	428	0.002336448598130841
Cómo	a	1	1	1.0
las	7	1	6	0.16666666666666666
7	#	1	1	1.0
$	CAP	1	428	0.002336448598130841
CAP	8	1	1	1.0
8	.	1	1	1.0
$	resuemn	1	428	0.002336448598130841
resuemn	god	1	1	1.0
god	#	1	1	1.0
$	n={−1,0,1,2,3,5,15,20,100,409,500,593,1000,1471,1500,2801,3000,5000,10000,20000	1	428	0.002336448598130841
n={−1,0,1,2,3,5,15,20,100,409,500,593,1000,1471,1500,2801,3000,5000,10000,20000	}	1	1	1.0
}	#	1	1	1.0
$	Confirmo	1	428	0.002336448598130841
Confirmo	:	1	1	1.0
Ya	vente	1	26	0.038461538461538464
vente	papuneitor	1	1	1.0
papuneitor	hay	1	3	0.3333333333333333
hay	que	1	6	0.16666666666666666
que	hacer	1	29	0.034482758620689655
guardia	#	1	2	0.5
$	Ora	1	428	0.002336448598130841
Ora	de	1	1	1.0
de	petardear	1	26	0.038461538461538464
petardear	el	1	1	1.0
el	cch	1	26	0.038461538461538464
cch	😈	1	1	1.0
😈	🔥	1	2	0.5
🔥	#	1	1	1.0
$	Openings	1	428	0.002336448598130841
Openings	de	1	1	1.0
de	los	1	26	0.038461538461538464
los	goods	1	9	0.1111111111111111
goods	😍	1	1	1.0
😍	#	1	1	1.0
Se	cancela	1	2	0.5
cancela	el	1	1	1.0
examen	?	1	6	0.16666666666666666
$	😈	1	428	0.002336448598130841
😈	#	1	2	0.5
Va	si	1	7	0.14285714285714285
si	puedes	1	10	0.1
puedes	marcale	1	1	1.0
marcale	a	1	1	1.0
mama	#	1	3	0.3333333333333333
$	Mamá	1	428	0.002336448598130841
Mamá	te	1	1	1.0
te	quiere	1	11	0.09090909090909091
quiere	hablar	1	1	1.0
hablar	#	1	1	1.0
$	ando	1	428	0.002336448598130841
ando	viendo	1	6	0.16666666666666666
viendo	el	1	1	1.0
el	primero	1	26	0.038461538461538464
$	nomas	1	428	0.002336448598130841
nomas	que	1	3	0.3333333333333333
no	hay	1	20	0.05
hay	tutoriales	1	6	0.16666666666666666
tutoriales	del	1	1	1.0
del	motorunu	1	8	0.125
motorunu	#	1	1	1.0
ya	te	1	9	0.1111111111111111
te	enseñaron	1	11	0.09090909090909091
enseñaron	electro-neumatica	1	1	1.0
electro-neumatica	?	1	1	1.0
$	ok	1	428	0.002336448598130841
ok	#	1	1	1.0
no	halle	1	20	0.05
halle	nada	1	1	1.0
nada	del	1	1	1.0
del	motor	1	8	0.125
motor	asi	1	1	1.0
asi	que	1	2	0.5
que	lo	1	29	0.034482758620689655
lo	hare	1	7	0.14285714285714285
hare	con	1	1	1.0
con	un	1	7	0.14285714285714285
un	cilindro	1	6	0.16666666666666666
cilindro	xd	1	1	1.0
xd	,	1	26	0.038461538461538464
,	ya	1	32	0.03125
ya	lo	1	9	0.1111111111111111
lo	tengo	1	7	0.14285714285714285
tengo	retardado	1	3	0.3333333333333333
retardado	,	1	1	1.0
,	nomas	1	32	0.03125
nomas	me	1	3	0.3333333333333333
falta	el	1	3	0.3333333333333333
pedo	del	1	3	0.3333333333333333
del	ciclo	1	8	0.125
ciclo	unico	1	1	1.0
unico	#	1	1	1.0
$	va	1	428	0.002336448598130841
va	#	1	3	0.3333333333333333
$	ahorita	1	428	0.002336448598130841
ahorita	llevo	1	2	0.5
llevo	#	1	1	1.0
ya	chambea	1	9	0.1111111111111111
chambea	#	1	1	1.0
$	hasta	1	428	0.002336448598130841
hasta	los	1	4	0.25
los	10	1	9	0.1111111111111111
10	segundos	1	1	1.0
segundos	#	1	1	1.0
$	me	1	428	0.002336448598130841
falta	agregar	1	3	0.3333333333333333
agregar	que	1	1	1.0
que	vuelva	1	29	0.034482758620689655
vuelva	a	1	1	1.0
a	trabajar	1	36	0.027777777777777776
trabajar	pero	1	1	1.0
pero	mas	1	1	1.0
mas	lento	1	2	0.5
lento	#	1	1	1.0
$	primero	1	428	0.002336448598130841
$	papuneitor	1	428	0.002336448598130841
papuneitor	#	1	3	0.3333333333333333
si	te	1	10	0.1
te	salio	1	11	0.09090909090909091
salio	?	1	1	1.0
?	,	1	55	0.01818181818181818
,	a	1	32	0.03125
mi	todavia	1	9	0.1111111111111111
todavia	no	1	1	1.0
no	:	1	20	0.05
,	v	1	32	0.03125
si	pasas	1	10	0.1
pasas	¿	1	1	1.0
$	solo	1	428	0.002336448598130841
solo	toca	1	3	0.3333333333333333
toca	esperar	1	1	1.0
esperar	a	1	1	1.0
ver	que	1	3	0.3333333333333333
que	nos	1	29	0.034482758620689655
nos	depara	1	1	1.0
depara	el	1	1	1.0
el	destino	1	26	0.038461538461538464
destino	#	1	1	1.0
Esa	madre	1	2	0.5
madre	era	1	3	0.3333333333333333
era	con	1	3	0.3333333333333333
con	electro	1	7	0.14285714285714285
electro	,	1	1	1.0
,	y	1	32	0.03125
y	todavía	1	14	0.07142857142857142
todavía	no	1	2	0.5
no	te	1	20	0.05
te	enseñan:'v	1	11	0.09090909090909091
enseñan:'v	#	1	1	1.0
$	Ese	1	428	0.002336448598130841
Ese	es	1	1	1.0
es	el	1	4	0.25
pedo	we	1	3	0.3333333333333333
si	jalo	1	10	0.1
jalo	?	1	2	0.5
Nmms	no	1	4	0.25
no	llego	1	20	0.05
$	Tú	1	428	0.002336448598130841
Tú	?	1	1	1.0
no	estoy	1	20	0.05
estoy	vestido	1	2	0.5
vestido	#	1	1	1.0
$	xx	1	428	0.002336448598130841
xx	#	1	1	1.0
me	dejan	1	16	0.0625
dejan	hacer	1	1	1.0
guardia	ya	1	2	0.5
ya	que	1	9	0.1111111111111111
no	soy	1	20	0.05
soy	de	1	1	1.0
de	ahí	1	26	0.038461538461538464
ahí	#	1	2	0.5
Nmms	ya	1	4	0.25
ya	ni	1	9	0.1111111111111111
ni	me	1	2	0.5
me	parezco	1	16	0.0625
parezco	#	1	1	1.0
$	Antes	1	428	0.002336448598130841
Antes	tenía	1	1	1.0
tenía	el	1	2	0.5
el	peinado	1	26	0.038461538461538464
peinado	follador	1	1	1.0
follador	#	1	1	1.0
$	Ahora	1	428	0.002336448598130841
Ahora	no	1	1	1.0
$	imprimelo	1	428	0.002336448598130841
imprimelo	papuneitor	1	1	1.0
papuneitor	:	1	3	0.3333333333333333
$	AyDA	1	428	0.002336448598130841
AyDA	#	1	1	1.0
Mis	fuentes	1	2	0.5
fuentes	dice	1	1	1.0
dice	que	1	2	0.5
que	cobran	1	29	0.034482758620689655
cobran	100	1	1	1.0
100	por	1	1	1.0
por	entrar	1	4	0.25
entrar	#	1	1	1.0
Ya	están	1	26	0.038461538461538464
están	ahí	1	2	0.5
ahí	xd	1	2	0.5
$	Sil	1	428	0.002336448598130841
Sil	*	1	1	1.0
*	#	1	2	0.5
$	Solo	1	428	0.002336448598130841
Solo	va	1	1	1.0
va	sil	1	3	0.3333333333333333
sil	?	1	1	1.0
$	Ps	1	428	0.002336448598130841
Ps	mi	1	1	1.0
mi	torta	1	9	0.1111111111111111
torta	de	1	1	1.0
mañana	we	1	2	0.5
$	Vavav	1	428	0.002336448598130841
Vavav	#	1	1	1.0
$	Pues	1	428	0.002336448598130841
Pues	deja	1	1	1.0
deja	busco	1	3	0.3333333333333333
busco	si	1	1	1.0
si	hay	1	10	0.1
hay	#	1	6	0.16666666666666666
$	Yes	1	428	0.002336448598130841
Yes	yes	1	1	1.0
yes	#	1	1	1.0
$	Encontré	1	428	0.002336448598130841
Encontré	unos	1	1	1.0
unos	tacos	1	1	1.0
tacos	cd	1	1	1.0
Me	avisan	1	7	0.14285714285714285
avisan	cuando	1	1	1.0
cuando	vayan	1	4	0.25
vayan	llegando	1	1	1.0
$	Vava	1	428	0.002336448598130841
Vava	#	1	1	1.0
Ya	andamos	1	26	0.038461538461538464
andamos	llegando	1	1	1.0
llegando	aca	1	3	0.3333333333333333
aca	#	1	2	0.5
Ando	aquí	1	4	0.25
aquí	en	1	1	1.0
en	los	1	26	0.038461538461538464
los	torniquetes	1	9	0.1111111111111111
torniquetes	xd	1	1	1.0
hay	pex	1	6	0.16666666666666666
pex	#	1	1	1.0
Ando	del	1	4	0.25
del	lado	1	8	0.125
lado	dirección	1	1	1.0
dirección	cuatro	1	2	0.5
cuatro	#	1	1	1.0
$	caminos	1	428	0.002336448598130841
caminos	#	1	1	1.0
me	dijo	1	16	0.0625
dijo	xdxd	1	2	0.5
xdxd	#	1	1	1.0
$	Crees	1	428	0.002336448598130841
Crees	que	1	1	1.0
que	el	1	29	0.034482758620689655
el	Kevin	1	26	0.038461538461538464
Kevin	sepa	1	3	0.3333333333333333
sepa	?	1	1	1.0
$	Vavavav	1	428	0.002336448598130841
Vavavav	#	1	1	1.0
a	venir	1	36	0.027777777777777776
venir	#	1	1	1.0
No	tenemos	1	16	0.0625
tenemos	gris	1	2	0.5
gris	xdxdd	1	1	1.0
xdxdd	#	1	1	1.0
$	Llevo	1	428	0.002336448598130841
Llevo	el	1	1	1.0
el	nigha	1	26	0.038461538461538464
nigha	#	1	1	1.0
Ya	voy	1	26	0.038461538461538464
voy	para	1	4	0.25
para	allá	1	3	0.3333333333333333
allá	#	1	1	1.0
We	estás	1	2	0.5
el	cantón	1	26	0.038461538461538464
cantón	?	1	1	1.0
$	Podrías	1	428	0.002336448598130841
